step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
712,1.34855,0.68005,,
713,1.67535,0.59003,,
714,1.66173,0.57434,,
715,1.43113,0.65512,,
716,1.81549,0.54319,,
717,2.24697,0.48105,,
718,1.52794,0.60647,,
719,1.52446,0.63516,,
720,1.3303,0.66559,,
721,1.44583,0.62443,,
722,2.11075,0.48507,,
723,1.91575,0.55684,,
724,1.93157,0.53597,,
725,1.82687,0.56041,,
726,1.53322,0.63336,,
727,2.01499,0.51399,,
728,1.60119,0.59244,,
729,1.54975,0.62573,,
730,1.90135,0.53543,,
731,1.89542,0.54881,,
732,1.81493,0.55832,,
733,1.62053,0.6263,,
734,1.96087,0.52559,,
735,1.44123,0.64172,,
736,1.38909,0.64006,,
737,1.90855,0.51644,,
738,1.88439,0.55476,,
739,1.97272,0.52251,,
740,1.24656,0.67259,,
741,1.61413,0.6067,,
742,2.00421,0.51629,,
743,1.54514,0.60345,,
744,1.41357,0.66644,,
745,1.89327,0.54215,,
746,1.55876,0.6153,,
747,1.56675,0.61857,,
748,1.98643,0.52672,,
749,1.67649,0.59572,,
750,1.67329,0.58842,,
751,1.64446,0.58625,,
752,1.45668,0.63595,,
753,1.88909,0.54635,,
754,1.47957,0.65053,,
755,1.73083,0.58128,,
756,2.02999,0.52124,,
757,1.47995,0.6376,,
758,2.07481,0.50817,,
759,2.0615,0.50685,,
760,1.97254,0.54038,,
761,1.76946,0.56866,,
762,1.84686,0.54491,,
763,1.16407,0.71343,,
764,1.75228,0.56456,,
765,1.84272,0.55838,,
766,2.15582,0.51011,,
767,1.61331,0.60728,,
768,2.00629,0.51925,,
769,1.70393,0.5679,,
770,2.04472,0.52132,,
771,1.75461,0.57133,,
772,2.07332,0.50928,,
773,1.37325,0.6422,,
774,1.63735,0.5792,,
775,1.4575,0.62198,,
776,1.78029,0.57143,,
777,1.43749,0.64215,,
778,1.65831,0.6024,,
779,1.50881,0.61437,,
780,2.01271,0.53469,,
781,1.58324,0.60022,,
782,1.63972,0.60331,,
783,1.21765,0.69565,,
784,1.40512,0.65631,,
785,2.03111,0.50927,,
786,2.0726,0.50633,,
787,1.39943,0.66619,,
788,1.65303,0.60218,,
789,1.73792,0.5536,,
790,1.76253,0.59709,,
791,1.57201,0.61587,,
792,1.83011,0.54879,,
793,1.88197,0.54725,,
794,1.49946,0.64943,,
795,1.90807,0.54191,,
796,1.7511,0.57918,,
797,1.89475,0.54573,,
798,1.69333,0.59314,,
799,1.96332,0.54383,,
800,1.91271,0.5331,,
801,1.82697,0.53491,,
802,1.7449,0.57937,,
803,2.10337,0.51943,,
804,1.68043,0.59151,,
805,1.77422,0.55258,,
806,1.51134,0.63619,,
807,1.54789,0.63667,,
808,1.79197,0.54495,,
809,1.97845,0.52163,,
810,1.95787,0.51881,,
811,1.83727,0.55468,,
812,1.94785,0.52427,,
813,1.82837,0.56417,,
814,1.8212,0.5668,,
815,1.96588,0.52688,,
816,2.04484,0.52051,,
817,1.93657,0.51724,,
818,1.76169,0.54944,,
819,1.60249,0.57518,,
820,1.90714,0.53097,,
821,1.71955,0.5807,,
822,1.61579,0.61465,,
823,1.69913,0.58458,,
824,1.78067,0.57363,,
825,2.00224,0.54045,,
826,1.51917,0.62314,,
827,1.81033,0.57641,,
828,1.19288,0.71092,,
829,1.91744,0.52463,,
830,1.88496,0.52726,,
831,1.82462,0.54946,,
832,1.83035,0.55966,,
833,1.91372,0.5468,,
834,1.99578,0.51126,,
835,1.48666,0.62686,,
836,1.86048,0.55647,,
837,1.58272,0.60964,,
838,1.19205,0.68997,,
